name,type,url,rating,review_count,address,phone,outreach_status,notes
IN VIVO AND CO,Agence événementielle,http://invivo-co.com/,4.0,4,"320 Rue Saint-Honoré, 75001 Paris",01 83 39 03 81,pending,
The Red Carpet,Organisateur d'événements,http://theredcarpet.fr/,5.0,4,"25 Rue de l'Arcade, 75008 Paris",,pending,
Goodwill Travel,Agence événementielle,https://goodwilltravel.fr/,4.3,4,"259 Rue Saint-Honoré, 75001 Paris",06 12 77 17 16,pending,
Nazareth Market Paris,Organisateur d'événements,http://www.nama-paris.fr/,4.7,3,"43 Rue Notre Dame de Nazareth, 75003 Paris",06 36 02 62 60,pending,
Espace evenement,Agence événementielle,http://www.espaceevenement.com/,5.0,2,"5 Rue Coq Héron, 75001 Paris",01 42 33 01 64,pending,
L'Aparté Palestro,Organisateur d'événements,https://www.lesapartes.com/locations/appartement-evenementiel-palestro,4.5,2,"29 Rue de Palestro, 75002 Paris",01 84 80 52 02,pending,
DAVID SULLO EVENTS,Organisateur d'événements,,5.0,2,"34 Rue Sainte-Anne, 75001 Paris",06 18 01 21 55,pending,
Espace Evénementiel,Organisateur d'événements,http://espace-evenementiel.com/,3.5,2,"7 Cité Dupetit-Thouars, 75003 Paris",,pending,
Brotherswing,Organisateur d'événements,https://www.brotherswing.fr/,5.0,2,"42 Rue Pierre Fontaine, 75009 Paris",,pending,
LadyDJ Paris FEMME DJ,Agence événementielle,https://www.ladydj.fr/,5.0,2,"11 Bd Malesherbes, 75008 Paris",06 62 02 44 04,pending,
Hors-Concept,Agence événementielle,http://www.hors-concept.com/,5.0,1,"28 Rue Meslay, 75003 Paris",01 85 09 25 78,pending,
Luxury International D'Antoni,Agence événementielle,https://pluxury.wixsite.com/my-site,5.0,1,"231 Rue Saint-Honoré, 75001 Paris",01 89 86 27 50,pending,
New Deal,Organisateur d'événements,https://human-music.eu/new-deal-accueil/,5.0,1,"42 Rue du Louvre, 75001 Paris",,pending,
ode-agence (Organisateur d'Évènement),Organisateur d'événements,http://www.ode-agence.com/,5.0,1,"58 Rue de Monceau, 75008 Paris",06 69 96 13 37,pending,
Intercoiffure France,Syndicat,http://www.intercoiffure-france.com/,5.0,1,"249 Rue Saint-Martin, 75003 Paris",01 42 25 55 17,pending,
ISOMETRIC EVENTS,Organisateur d'événements,http://www.isometricevents.com/,5.0,1,Paris,01 87 05 55 78,pending,
Lutila,Agence événementielle,http://www.lutila.fr/,,,"16 R. de Turbigo, 75002 Paris",06 59 99 94 22,pending,
MAISON JOYA,Agence événementielle,https://www.maisonjoya.fr/,,,"229 Rue Saint-Honoré, 75001 Paris",06 51 94 75 41,pending,
Alaya Events,Organisateur d'événements,https://www.alaya-events.fr/,,,"3 Rue Saint-Hyacinthe, 75001 Paris",,pending,
Rencontres et Communication,Agence événementielle,http://reunir.com/,,,"260 Rue Saint-Honoré, 75001 Paris",01 53 61 60 00,pending,
Sport Team Building PARIS,Organisateur d'événements,https://sport-team-building.fr/paris/,,,"27 Av. de l'Opéra, 75001 Paris",06 79 29 89 88,pending,
Oxygène Expo,Organisateur d'événements,http://secours-expo.com/,,,Paris,01 43 37 10 19,pending,
